,title,url
0,栄養士または管理栄養士の方に質問です。 資格取得後、訳あって現在は資格とは関係の無い職に着い...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14252670329?__ysp=566h55CG5qCE6aSK5aOr
1,私は行政管理栄養士、又は病院勤務の管理栄養士を目指している受験生です。 現在、志望校としては ...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10254858320?__ysp=566h55CG5qCE6aSK5aOr
2,管理栄養士か看護師のどちらかに将来なりたいのですが、どちらがいいと思いますか？ どちらも私がな...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11254300746?__ysp=566h55CG5qCE6aSK5aOr
3,管理栄養士の資格を取りたいので栄養系の学部を受けようと思っている高３です。 ⠀ 地元公立大にも...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12251258267?__ysp=566h55CG5qCE6aSK5aOr
4,現在栄養士で、来年の管理栄養士国家試験を受けるものです。 3ヶ月で合格点以上をとるおすすめの...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12252366792?__ysp=566h55CG5qCE6aSK5aOr
5,管理栄養士または、目指している大学生の方に質問です。 管理栄養士の実習はどんな感じなのでしょ... ,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12251085282?__ysp=566h55CG5qCE6aSK5aOr
6,管理栄養士の施設への実習が明日で最後になります。 挨拶をするなら、厨房の方も含め皆さんが集まる...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10248349945?__ysp=566h55CG5qCE6aSK5aOr
7,管理栄養士の方のお話色々聞きたいです！ 高校生なんですが、食べることがほんとに好きでご飯の時間...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12249101807?__ysp=566h55CG5qCE6aSK5aOr
8,管理栄養士の卵です。 母親(51歳)が、体調を崩していて、食事について教えて欲しいです。 母親...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10254934310?__ysp=566h55CG5qCE6aSK5aOr
9,管理栄養士になるために大学に行くものです。 入学までに化学基礎と生物基礎を主に勉強しておいた方...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14254545709?__ysp=566h55CG5qCE6aSK5aOr
10,管理栄養士です。9月から直営の病院で働きます。最初は厨房業務メインでの仕事になります。 ベテラ...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10247560710?__ysp=566h55CG5qCE6aSK5aOr
11,管理栄養士、お給料安すぎないですか？ 経験あり中途入社で資格無し他職種の新卒22歳に3万くらい...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13240781823?__ysp=566h55CG5qCE6aSK5aOr
12,こんにちは、管理栄養士養成学校に通ってる大学2年生です。 前期の試験が先週終わり、再試発表があ...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10247349310?__ysp=566h55CG5qCE6aSK5aOr
13,管理栄養士を取りたく大学進学を予定しています。 何度か質問している中で、 回答の中に必ずある... ,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13246981303?__ysp=566h55CG5qCE6aSK5aOr
14,管理栄養士の資格が取れる学部に入りたいと思っている者です。受験について調べるにつれて色々と疑問が出,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11254836321?__ysp=566h55CG5qCE6aSK5aOr
15,管理栄養士の学部はどれくらい忙しいですか？ 今年、大学受験生です。 中学の頃から身体が弱く最終...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11241173776?__ysp=566h55CG5qCE6aSK5aOr
16,管理栄養士を目指しています 偏差値等は調べましたが、学校のイメージは それぞれどのようなものな...,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10249382185?__ysp=566h55CG5qCE6aSK5aOr
17,管理栄養士の資格を取りたいです 京都女子大学と同志社女子大学ではどちらがいいと思いますか？,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13242983788?__ysp=566h55CG5qCE6aSK5aOr
